Odczyt z enkodera: [4.0, 85.0, 347.0] , Moc: -120.12 , FI akt: 347.0 , FI pop: 367.0 , FI poppop: 389.0 , różnica czasu: 0.10300000000000153
Odczyt z enkodera: [4.0, 85.0, 325.0] , Moc: -134.27 , FI akt: 325.0 , FI pop: 347.0 , FI poppop: 367.0 , różnica czasu: 0.09699999999999953
Odczyt z enkodera: [4.0, 85.0, 299.0] , Moc: -145.39 , FI akt: 299.0 , FI pop: 325.0 , FI poppop: 347.0 , różnica czasu: 0.1039999999999992
Odczyt z enkodera: [4.0, 85.0, 275.0] , Moc: -155.13 , FI akt: 275.0 , FI pop: 299.0 , FI poppop: 325.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 253.0] , Moc: -122.27 , FI akt: 253.0 , FI pop: 275.0 , FI poppop: 299.0 , różnica czasu: 0.11100000000000065
Odczyt z enkodera: [4.0, 85.0, 236.0] , Moc: -113.71 , FI akt: 236.0 , FI pop: 253.0 , FI poppop: 275.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 223.0] , Moc: -70.79 , FI akt: 223.0 , FI pop: 236.0 , FI poppop: 253.0 , różnica czasu: 0.11499999999999844
Odczyt z enkodera: [4.0, 85.0, 208.0] , Moc: -100.39 , FI akt: 208.0 , FI pop: 223.0 , FI poppop: 236.0 , różnica czasu: 0.08800000000000097
Odczyt z enkodera: [4.0, 85.0, 191.0] , Moc: -104.78 , FI akt: 191.0 , FI pop: 208.0 , FI poppop: 223.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 172.0] , Moc: -117.11 , FI akt: 172.0 , FI pop: 191.0 , FI poppop: 208.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 156.0] , Moc: -98.08 , FI akt: 156.0 , FI pop: 172.0 , FI poppop: 191.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 140.0] , Moc: -96.02 , FI akt: 140.0 , FI pop: 156.0 , FI poppop: 172.0 , różnica czasu: 0.10099999999999909
Odczyt z enkodera: [4.0, 85.0, 122.0] , Moc: -104.71 , FI akt: 122.0 , FI pop: 140.0 , FI poppop: 156.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 102.0] , Moc: -120.87 , FI akt: 102.0 , FI pop: 122.0 , FI poppop: 140.0 , różnica czasu: 0.09799999999999898
Odczyt z enkodera: [4.0, 85.0, 89.0] , Moc: -69.80 , FI akt: 89.0 , FI pop: 102.0 , FI poppop: 122.0 , różnica czasu: 0.11899999999999977
Odczyt z enkodera: [4.0, 85.0, 78.0] , Moc: -79.82 , FI akt: 78.0 , FI pop: 89.0 , FI poppop: 102.0 , różnica czasu: 0.08600000000000207
Odczyt z enkodera: [4.0, 85.0, 70.0] , Moc: -51.73 , FI akt: 70.0 , FI pop: 78.0 , FI poppop: 89.0 , różnica czasu: 0.09700000000000131
Odczyt z enkodera: [4.0, 85.0, 55.0] , Moc: -70.17 , FI akt: 55.0 , FI pop: 70.0 , FI poppop: 78.0 , różnica czasu: 0.12299999999999756
Odczyt z enkodera: [4.0, 85.0, 41.0] , Moc: -115.34 , FI akt: 41.0 , FI pop: 55.0 , FI poppop: 70.0 , różnica czasu: 0.07499999999999929
